# Glagolitic
U+2C87, \xe2\xb2\x87, COPTIC SMALL LETTER DALDA
U+2C88, \xe2\xb2\x88, COPTIC CAPITAL LETTER EIE
U+2C89, \xe2\xb2\x89, COPTIC SMALL LETTER EIE
U+2C8A, \xe2\xb2\x8a, COPTIC CAPITAL LETTER SOU
U+2C8B, \xe2\xb2\x8b, COPTIC SMALL LETTER SOU
U+2C8C, \xe2\xb2\x8c, COPTIC CAPITAL LETTER ZATA
U+2C8D, \xe2\xb2\x8d, COPTIC SMALL LETTER ZATA
U+2C8E, \xe2\xb2\x8e, COPTIC CAPITAL LETTER HATE
U+2C8F, \xe2\xb2\x8f, COPTIC SMALL LETTER HATE
U+2C90, \xe2\xb2\x90, COPTIC CAPITAL LETTER THETHE
U+2C91, \xe2\xb2\x91, COPTIC SMALL LETTER THETHE
U+2C92, \xe2\xb2\x92, COPTIC CAPITAL LETTER IAUDA
U+2C93, \xe2\xb2\x93, COPTIC SMALL LETTER IAUDA
U+2C94, \xe2\xb2\x94, COPTIC CAPITAL LETTER KAPA
U+2C95, \xe2\xb2\x95, COPTIC SMALL LETTER KAPA
U+2C96, \xe2\xb2\x96, COPTIC CAPITAL LETTER LAULA
U+2C97, \xe2\xb2\x97, COPTIC SMALL LETTER LAULA
U+2C98, \xe2\xb2\x98, COPTIC CAPITAL LETTER MI
U+2C99, \xe2\xb2\x99, COPTIC SMALL LETTER MI
U+2C9A, \xe2\xb2\x9a, COPTIC CAPITAL LETTER NI
U+2C9B, \xe2\xb2\x9b, COPTIC SMALL LETTER NI
U+2C9C, \xe2\xb2\x9c, COPTIC CAPITAL LETTER KSI
U+2C9D, \xe2\xb2\x9d, COPTIC SMALL LETTER KSI
U+2C9E, \xe2\xb2\x9e, COPTIC CAPITAL LETTER O
U+2C9F, \xe2\xb2\x9f, COPTIC SMALL LETTER O
U+2CA0, \xe2\xb2\xa0, COPTIC CAPITAL LETTER PI
U+2CA1, \xe2\xb2\xa1, COPTIC SMALL LETTER PI
U+2CA2, \xe2\xb2\xa2, COPTIC CAPITAL LETTER RO
U+2CA3, \xe2\xb2\xa3, COPTIC SMALL LETTER RO
U+2CA4, \xe2\xb2\xa4, COPTIC CAPITAL LETTER SIMA
U+2CA5, \xe2\xb2\xa5, COPTIC SMALL LETTER SIMA
U+2CA6, \xe2\xb2\xa6, COPTIC CAPITAL LETTER TAU
U+2CA7, \xe2\xb2\xa7, COPTIC SMALL LETTER TAU
U+2CA8, \xe2\xb2\xa8, COPTIC CAPITAL LETTER UA
U+2CA9, \xe2\xb2\xa9, COPTIC SMALL LETTER UA
U+2CAA, \xe2\xb2\xaa, COPTIC CAPITAL LETTER FI
U+2CAB, \xe2\xb2\xab, COPTIC SMALL LETTER FI
U+2CAC, \xe2\xb2\xac, COPTIC CAPITAL LETTER KHI
U+2CAD, \xe2\xb2\xad, COPTIC SMALL LETTER KHI
U+2CAE, \xe2\xb2\xae, COPTIC CAPITAL LETTER PSI
U+2CAF, \xe2\xb2\xaf, COPTIC SMALL LETTER PSI
U+2CB0, \xe2\xb2\xb0, COPTIC CAPITAL LETTER OOU
U+2CB1, \xe2\xb2\xb1, COPTIC SMALL LETTER OOU
U+2CB2, \xe2\xb2\xb2, COPTIC CAPITAL LETTER DIALECT-P ALEF
U+2CB3, \xe2\xb2\xb3, COPTIC SMALL LETTER DIALECT-P ALEF
U+2CB4, \xe2\xb2\xb4, COPTIC CAPITAL LETTER OLD COPTIC AIN
U+2CB5, \xe2\xb2\xb5, COPTIC SMALL LETTER OLD COPTIC AIN
U+2CB6, \xe2\xb2\xb6, COPTIC CAPITAL LETTER CRYPTOGRAMMIC EIE
U+2CB7, \xe2\xb2\xb7, COPTIC SMALL LETTER CRYPTOGRAMMIC EIE
U+2CB8, \xe2\xb2\xb8, COPTIC CAPITAL LETTER DIALECT-P KAPA
U+2CB9, \xe2\xb2\xb9, COPTIC SMALL LETTER DIALECT-P KAPA
U+2CBA, \xe2\xb2\xba, COPTIC CAPITAL LETTER DIALECT-P NI
U+2CBB, \xe2\xb2\xbb, COPTIC SMALL LETTER DIALECT-P NI
U+2CBC, \xe2\xb2\xbc, COPTIC CAPITAL LETTER CRYPTOGRAMMIC NI
U+2CBD, \xe2\xb2\xbd, COPTIC SMALL LETTER CRYPTOGRAMMIC NI
U+2CBE, \xe2\xb2\xbe, COPTIC CAPITAL LETTER OLD COPTIC OOU
U+2CBF, \xe2\xb2\xbf, COPTIC SMALL LETTER OLD COPTIC OOU
U+2CC0, \xe2\xb3\x80, COPTIC CAPITAL LETTER SAMPI
U+2CC1, \xe2\xb3\x81, COPTIC SMALL LETTER SAMPI
U+2CC2, \xe2\xb3\x82, COPTIC CAPITAL LETTER CROSSED SHEI
U+2CC3, \xe2\xb3\x83, COPTIC SMALL LETTER CROSSED SHEI
U+2CC4, \xe2\xb3\x84, COPTIC CAPITAL LETTER OLD COPTIC SHEI
U+2CC5, \xe2\xb3\x85, COPTIC SMALL LETTER OLD COPTIC SHEI
U+2CC6, \xe2\xb3\x86, COPTIC CAPITAL LETTER OLD COPTIC ESH
U+2CC7, \xe2\xb3\x87, COPTIC SMALL LETTER OLD COPTIC ESH
U+2CC8, \xe2\xb3\x88, COPTIC CAPITAL LETTER AKHMIMIC KHEI
U+2CC9, \xe2\xb3\x89, COPTIC SMALL LETTER AKHMIMIC KHEI
U+2CCA, \xe2\xb3\x8a, COPTIC CAPITAL LETTER DIALECT-P HORI
U+2CCB, \xe2\xb3\x8b, COPTIC SMALL LETTER DIALECT-P HORI
U+2CCC, \xe2\xb3\x8c, COPTIC CAPITAL LETTER OLD COPTIC HORI
U+2CCD, \xe2\xb3\x8d, COPTIC SMALL LETTER OLD COPTIC HORI
U+2CCE, \xe2\xb3\x8e, COPTIC CAPITAL LETTER OLD COPTIC HA
U+2CCF, \xe2\xb3\x8f, COPTIC SMALL LETTER OLD COPTIC HA
U+2CD0, \xe2\xb3\x90, COPTIC CAPITAL LETTER L-SHAPED HA
U+2CD1, \xe2\xb3\x91, COPTIC SMALL LETTER L-SHAPED HA
U+2CD2, \xe2\xb3\x92, COPTIC CAPITAL LETTER OLD COPTIC HEI
U+2CD3, \xe2\xb3\x93, COPTIC SMALL LETTER OLD COPTIC HEI
U+2CD4, \xe2\xb3\x94, COPTIC CAPITAL LETTER OLD COPTIC HAT
U+2CD5, \xe2\xb3\x95, COPTIC SMALL LETTER OLD COPTIC HAT
U+2CD6, \xe2\xb3\x96, COPTIC CAPITAL LETTER OLD COPTIC GANGIA
U+2CD7, \xe2\xb3\x97, COPTIC SMALL LETTER OLD COPTIC GANGIA
U+2CD8, \xe2\xb3\x98, COPTIC CAPITAL LETTER OLD COPTIC DJA
U+2CD9, \xe2\xb3\x99, COPTIC SMALL LETTER OLD COPTIC DJA
U+2CDA, \xe2\xb3\x9a, COPTIC CAPITAL LETTER OLD COPTIC SHIMA
U+2CDB, \xe2\xb3\x9b, COPTIC SMALL LETTER OLD COPTIC SHIMA
U+2CDC, \xe2\xb3\x9c, COPTIC CAPITAL LETTER OLD NUBIAN SHIMA
U+2CDD, \xe2\xb3\x9d, COPTIC SMALL LETTER OLD NUBIAN SHIMA
U+2CDE, \xe2\xb3\x9e, COPTIC CAPITAL LETTER OLD NUBIAN NGI
U+2CDF, \xe2\xb3\x9f, COPTIC SMALL LETTER OLD NUBIAN NGI
U+2CE0, \xe2\xb3\xa0, COPTIC CAPITAL LETTER OLD NUBIAN NYI
U+2CE1, \xe2\xb3\xa1, COPTIC SMALL LETTER OLD NUBIAN NYI
U+2CE2, \xe2\xb3\xa2, COPTIC CAPITAL LETTER OLD NUBIAN WAU
U+2CE3, \xe2\xb3\xa3, COPTIC SMALL LETTER OLD NUBIAN WAU
U+2CE4, \xe2\xb3\xa4, COPTIC SYMBOL KAI
U+2CE5, \xe2\xb3\xa5, COPTIC SYMBOL MI RO
U+2CE6, \xe2\xb3\xa6, COPTIC SYMBOL PI RO
U+2CE7, \xe2\xb3\xa7, COPTIC SYMBOL STAUROS
U+2CE8, \xe2\xb3\xa8, COPTIC SYMBOL TAU RO
U+2CE9, \xe2\xb3\xa9, COPTIC SYMBOL KHI RO
U+2CEA, \xe2\xb3\xaa, COPTIC SYMBOL SHIMA SIMA
U+2CEB, \xe2\xb3\xab, COPTIC CAPITAL LETTER CRYPTOGRAMMIC SHEI
U+2CEC, \xe2\xb3\xac, COPTIC SMALL LETTER CRYPTOGRAMMIC SHEI
U+2CED, \xe2\xb3\xad, COPTIC CAPITAL LETTER CRYPTOGRAMMIC GANGIA
U+2CEE, \xe2\xb3\xae, COPTIC SMALL LETTER CRYPTOGRAMMIC GANGIA
U+2CEF, \xe2\xb3\xaf, COPTIC COMBINING NI ABOVE
U+2CF0, \xe2\xb3\xb0, COPTIC COMBINING SPIRITUS ASPER
U+2CF1, \xe2\xb3\xb1, COPTIC COMBINING SPIRITUS LENIS
U+2CF9, \xe2\xb3\xb9, COPTIC OLD NUBIAN FULL STOP
U+2CFA, \xe2\xb3\xba, COPTIC OLD NUBIAN DIRECT QUESTION MARK
U+2CFB, \xe2\xb3\xbb, COPTIC OLD NUBIAN INDIRECT QUESTION MARK
U+2CFC, \xe2\xb3\xbc, COPTIC OLD NUBIAN VERSE DIVIDER
U+2CFD, \xe2\xb3\xbd, COPTIC FRACTION ONE HALF
U+2CFE, \xe2\xb3\xbe, COPTIC FULL STOP
U+2CFF, \xe2\xb3\xbf, COPTIC MORPHOLOGICAL DIVIDER
